CPU:0 [LOST 44585 EVENTS]
 0)   0.328 us    |                        __tlb_remove_page_size();
 0)   0.283 us    |                        _vm_normal_page();
 0)   0.260 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.242 us    |                          lock_page_memcg();
 0)   0.298 us    |                          PageHuge();
 0)   0.230 us    |                          unlock_page_memcg();
 0)   1.758 us    |                        }
 0)   0.361 us    |                        __tlb_remove_page_size();
 0)   0.203 us    |                        _vm_normal_page();
 0)   0.201 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.195 us    |                          lock_page_memcg();
 0)   0.195 us    |                          PageHuge();
 0)   0.194 us    |                          unlock_page_memcg();
 0)   1.345 us    |                        }
 0)   0.197 us    |                        __tlb_remove_page_size();
 0)   0.199 us    |                        _vm_normal_page();
 0)   0.200 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.194 us    |                          lock_page_memcg();
 0)   0.193 us    |                          PageHuge();
 0)   0.197 us    |                          unlock_page_memcg();
 0)   1.341 us    |                        }
 0)   0.196 us    |                        __tlb_remove_page_size();
 0)   0.197 us    |                        _vm_normal_page();
 0)   0.198 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.196 us    |                          lock_page_memcg();
 0)   0.195 us    |                          PageHuge();
 0)   0.194 us    |                          unlock_page_memcg();
 0)   1.341 us    |                        }
 0)   0.197 us    |                        __tlb_remove_page_size();
 0)   0.197 us    |                        _vm_normal_page();
 0)   0.198 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.196 us    |                          lock_page_memcg();
 0)   0.195 us    |                          PageHuge();
 0)   0.195 us    |                          unlock_page_memcg();
 0)   1.342 us    |                        }
 0)   0.196 us    |                        __tlb_remove_page_size();
 0)   0.189 us    |                        _vm_normal_page();
 0)   0.197 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.196 us    |                          lock_page_memcg();
 0)   0.194 us    |                          PageHuge();
 0)   0.195 us    |                          unlock_page_memcg();
 0)   1.343 us    |                        }
 0)   0.197 us    |                        __tlb_remove_page_size();
 0)   0.197 us    |                        _vm_normal_page();
